Company,Value
Walmart,500343
Exxon Mobil,244363
Berkshire Hathaway,242137
Apple,229234
UnitedHealth Group,201159
McKesson,198533
CVS Health,184765
Amazon.com,177866
AT&T,160546
General Motors,157311
Ford Motor,156776
AmerisourceBergen,153144
Chevron,134533
Cardinal Health,129976
Costco,129025
Verizon,126034
Kroger,122662
General Electric,122274
Walgreens Boots Alliance,118214
JPMorgan Chase,113899
Fannie Mae,112394
Alphabet,110855
Home Depot,100904
Bank of America Corp.,100264
Express Scripts Holding,100065
Wells Fargo,97741
Boeing,93392
Phillips 66,91568
Anthem,90040
Microsoft,89950
Valero Energy,88407
Citigroup,87966
Comcast,84526
IBM,79139
Dell Technologies,78660
State Farm Insurance Cos.,78331
Johnson & Johnson,76450
Freddie Mac,74676
Target,71879
Lowes,68619
Marathon Petroleum,67610
Procter & Gamble,66217
MetLife,66153
UPS,65872
PepsiCo,63525
Intel,62761
DowDuPont,62683
Archer Daniels Midland,60828
Aetna,60535
