Rank 2018,Company,Revenue,Profits,Profit Change from 2017,Assets,Market Value (March 2018),Employees,Sector,Industry,Years On Fortune 1000,City,State,lat,lng,Rank 2017,Revenue Change from 2017
1,Walmart,500343,9862,-28%,204522,263563,2300000,Retailing,General Merchandisers,24,Bentonville,AR,36.3728538,-94.2088172,1,0.03
2,Exxon Mobil,244363,19710,151%,348691,316157,71200,Energy,Petroleum Refining,24,Irving,TX,32.8140177,-96.9488945,4,0.174
3,Berkshire Hathaway,242137,44940,87%,702095,492008,377000,Financials,Insurance: Property and Casualty (Stock),24,Omaha,NE,41.2565369,-95.9345034,2,0.083
4,Apple,229234,48351,6%,375319,851318,123000,Technology,"Computers, Office Equipment",24,Cupertino,CA,37.3229978,-122.0321823,3,0.063
5,UnitedHealth Group,201159,10558,51%,139058,207080,260000,Health Care,Health Care: Insurance and Managed Care,24,Minnetonka,MN,44.9211836,-93.4687489,6,0.088
6,McKesson,198533,5070,125%,60969,29067,64500,Wholesalers,Wholesalers: Health Care,24,SF,CA,37.7749295,-122.4194155,5,0.031
7,CVS Health,184765,6622,25%,95131,63114,203000,Health Care,Health Care: Pharmacy and Other Services,24,Woonsocket,RI,42.0028761,-71.5147839,7,0.041
8,Amazon.com,177866,3033,28%,131310,700668,566000,Retailing,Internet Services and Retailing,17,Seattle,WA,47.6062095,-122.3320708,12,0.308
9,AT&T,160546,29450,127%,444097,218946,254000,Telecommunications,Telecommunications,24,Dallas,TX,32.7766642,-96.7969879,9,-0.02
10,General Motors,157311,-3864,-141%,212482,50972,180000,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Detroit,MI,42.331427,-83.0457538,8,-0.055
11,Ford Motor,156776,7602,65%,257808,44244,202000,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Dearborn,MI,42.3222599,-83.1763145,10,0.033
12,AmerisourceBergen,153144,365,-75%,35317,18938,19500,Wholesalers,Wholesalers: Health Care,24,Chesterbrook,PA,40.0756627,-75.4590816,11,0.043
13,Chevron,134533,9195,-,253806,217845,51900,Energy,Petroleum Refining,24,San Ramon,CA,37.7799273,-121.9780153,19,0.251
14,Cardinal Health,129976,1288,-10%,40112,19726,40400,Wholesalers,Wholesalers: Health Care,24,Dublin,OH,40.0992294,-83.1140771,15,0.069
15,Costco,129025,2679,14%,36347,82687,182000,Retailing,General Merchandisers,24,Issaquah,WA,47.5301011,-122.0326191,16,0.087
16,Verizon,126034,30101,129%,257143,197497,155400,Telecommunications,Telecommunications,24,New York,NY,40.7127753,-74.0059728,14,0
17,Kroger,122662,1907,-3%,37197,20828,449000,Food &  Drug Stores,Food and Drug Stores,24,Cincinnati,OH,39.1031182,-84.5120196,18,0.064
18,General Electric,122274,-5786,-166%,377945,117054,313000,Industrials,Industrial Machinery,24,Boston,MA,42.3600825,-71.0588801,13,-0.035
19,Walgreens Boots Alliance,118214,4078,-2%,66009,64924,290000,Food &  Drug Stores,Food and Drug Stores,24,Deerfield,IL,42.1711365,-87.8445119,17,0.007
20,JPMorgan Chase,113899,24441,-1%,2533600,375043,252539,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728,21,0.08
21,Fannie Mae,112394,2463,-80%,3345529,1633,7200,Financials,Diversified Financials,21,Leavenworth,WA,47.7510741,-120.7401385,20,0.049
22,Alphabet,110855,12662,-35%,197295,719124,80110,Technology,Internet Services and Retailing,13,Mountain View,CA,37.3860517,-122.0838511,27,0.228
23,Home Depot,100904,8630,9%,44529,206272,413000,Retailing,Specialty Retailers: Other,24,Atlanta,GA,33.7489954,-84.3879824,23,0.067
24,Bank of America Corp.,100264,18232,2%,2281234,306618,209376,Financials,Commercial Banks,24,Charlotte,NC,35.2270869,-80.8431267,26,0.07
25,Express Scripts Holding,100065,4517,33%,54256,38791,26600,Health Care,Health Care: Pharmacy and Other Services,19,St. Louis,MO,38.6270025,-90.1994042,22,-0.002
26,Wells Fargo,97741,22183,1%,1951757,255556,262700,Financials,Commercial Banks,24,SF,CA,37.7749295,-122.4194155,25,0.038
27,Boeing,93392,8197,68%,92333,192539,140800,Aerospace &  Defense,Aerospace and Defense,24,Chicago,IL,41.8781136,-87.6297982,24,-0.012
28,Phillips 66,91568,5106,228%,54371,44730,14600,Energy,Petroleum Refining,6,Houston,TX,29.7604267,-95.3698028,34,0.265
29,Anthem,90040,3843,56%,70540,56182,56000,Health Care,Health Care: Insurance and Managed Care,24,Indianapolis,IN,39.768403,-86.158068,29,0.061
30,Microsoft,89950,21204,26%,241086,702760,124000,Technology,Computer Software,24,Redmond,WA,47.6739881,-122.121512,28,0.054
31,Valero Energy,88407,4065,78%,50158,39977,10015,Energy,Petroleum Refining,20,San Antonio,TX,29.4241219,-98.4936282,37,0.26
32,Citigroup,87966,-6798,-146%,1842465,172822,209000,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728,30,0.068
33,Comcast,84526,22714,161%,186949,158703,164000,Telecommunications,Telecommunications,23,Philadelphia,PA,39.9525839,-75.1652215,31,0.051
34,IBM,79139,5753,-52%,125356,141335,397800,Technology,Information Technology Services,24,Armonk,NY,41.1264849,-73.7140195,32,-0.01
35,Dell Technologies,78660,-3728,-,122281,-,145000,Technology,"Computers, Office Equipment",21,Round Rock,TX,30.5082551,-97.678896,41,0.214
36,State Farm Insurance Cos.,78331,2207,530%,272345,-,65664,Financials,Insurance: Property and Casualty (Mutual),24,Bloomington,IL,40.4842027,-88.9936873,33,0.029
37,Johnson & Johnson,76450,1300,-92%,157303,343780,134000,Health Care,Pharmaceuticals,24,New Brunswick,NJ,40.4862157,-74.4518188,35,0.063
38,Freddie Mac,74676,5625,-28%,2049776,878,6165,Financials,Diversified Financials,21,McLean,VA,38.9338676,-77.1772604,39,0.137
39,Target,71879,2934,7%,38999,37409,345000,Retailing,General Merchandisers,24,Minneapolis,MN,44.977753,-93.2650108,38,0.034
40,Lowes,68619,3447,11%,35291,72812,255000,Retailing,Specialty Retailers: Other,24,Mooresville,NC,35.5848596,-80.8100724,40,0.055
41,Marathon Petroleum,67610,3432,192%,49047,34683,43800,Energy,Petroleum Refining,7,Findlay,OH,41.04422,-83.6499321,51,0.21
