Industry,Value
Merchandisers,801826
Petroleum Refining,710508
Commercial Banks,679885
Insurance: Properties,595016
Health Care Insurance,541333
Wholesalers: Health Care,509026
Telecommunications,466959
"Computers, Equipment",440903
Motor Vehicles and Parts,433535
Specialty Retailers: Other,421056
Food and Drug Stores,405468
Internet Services,405443
Aerospace and Defense,383835
Diversified Financials,378855
Pharmacy,351332
Gas and Electric,334584
Pharmaceuticals,334508
"Life, Health Insurance",258596
Industrial Machinery,257174
Chemicals,251151
